NAME,year,overall,DA,cp,pt
Prince George,2013,22.2,22.5,22.5,10.1
Hopewell,2013,21.4,20.6,24.1,50
Petersburg,2013,22.7,22.4,25.6,31.5
Prince George,2014,24,24.3,26.7,10
Hopewell,2014,21.4,20.9,24,59.4
Chesterfield,2015,26,25.7,28.3,40.2
Dinwiddie,2015,28.9,28.9,33.4,49.1
Hopewell,2015,22.1,21.8,22.9,55.3
Chesterfield,2016,26.3,25.9,30,43.7
Dinwiddie,2016,29.7,29.6,36.1,31.1
Hopewell,2016,23,21.9,31.2,48.3
Chesterfield,2017,26.4,26.1,29.5,49.5
Dinwiddie,2017,29.2,29.6,32.9,18.8
Colonial Heights,2017,21.7,21.4,23.7,50.1
Hopewell,2017,24,22.5,34.3,45.7
Chesterfield,2018,26.4,26.1,29,50.1
Dinwiddie,2018,29.9,30.2,33.1,30.3
Colonial Heights,2018,23.5,23.4,23,50.3
Hopewell,2018,24.7,23.5,31.6,34.4
Chesterfield,2019,26.6,26.3,29.8,44.8
Hopewell,2019,24.5,23.4,30,26.6
Chesterfield,2020,26.7,26.5,29,51.1
Prince George,2020,25.6,26.1,23.2,34
Hopewell,2020,24.6,24.2,27.3,26.6
Chesterfield,2021,26.4,26.3,27.5,47.8
Chesterfield,2022,26.4,26.5,26.3,42.4
Dinwiddie,2022,33.1,32.8,31.6,92.4
